Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Time,Day_of_week
Over 51,Male,Above high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,23:00:00,Tuesday
18-30,Male,Elementary school,Employee,Above 10yr,other,No junction,Earth roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,18:20:00,Tuesday
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,18:20:00,Tuesday
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,2,18:20:00,Tuesday
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Unknown,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,19:05:00,Saturday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Unknown,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,19:05:00,Saturday
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving to the left,2,11:05:00,Sunday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Driving to the left,2,11:05:00,Sunday
31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to pedestrian,1,18:15:00,Sunday
18-30,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),O Shape,Gravel roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,8:05:00,Friday
18-30,Male,Junior high school,Employee,Above 10yr,One way,O Shape,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,Getting off,Not a Pedestrian,Changing lane to the right,2,8:05:00,Friday
Unknown,Female,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,19:47:00,Thursday
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,19:47:00,Thursday
Over 51,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,18:30:00,Tuesday
31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,18:09:00,Monday
18-30,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,18:09:00,Monday
18-30,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,17:36:00,Sunday
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,19:35:00,Friday
31-50,Male,Above high school,Owner,5-10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Turnover,2,19:35:00,Friday
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,10:42:00,Monday
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,1,10:42:00,Monday
18-30,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,8:05:00,Tuesday
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,15:35:00,Thursday
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,15:35:00,Thursday
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,2,9:10:00,Saturday
Over 51,Male,Unknown,Owner,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,9:10:00,Saturday
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,17:10:00,Wednesday
31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,17:10:00,Wednesday
31-50,Male,Elementary school,Employee,No Licence,Unknown,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,16:35:00,Monday
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,16:35:00,Monday
18-30,Male,Junior high school,Owner,Above 10yr,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,19:08:00,Wednesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,19:08:00,Wednesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,19:08:00,Wednesday
31-50,Male,Junior high school,Owner,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,No distancing,2,19:08:00,Wednesday
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Other,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,19:08:00,Wednesday
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,19:08:00,Wednesday
31-50,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,19:08:00,Wednesday
18-30,Male,Above high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,8:50:00,Friday
18-30,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Changing lane to the left,2,8:50:00,Friday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,14:10:00,Wednesday
Under 18,Unknown,Unknown,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,14:10:00,Wednesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,16:52:00,Monday
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,16:52:00,Monday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,10:43:00,Saturday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,10:43:00,Saturday
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,15:55:00,Friday
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,22:10:00,Tuesday
18-30,Male,Junior high school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,22:10:00,Tuesday
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,22:10:00,Tuesday
31-50,Male,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Unknown or other,Changing lane to the left,2,22:10:00,Tuesday
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Fog or mist,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,17:20:00,Thursday
18-30,Male,Junior high school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Fog or mist,Rollover,Going straight,Not a Pedestrian,Overtaking,2,17:20:00,Thursday
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,No distancing,2,10:17:00,Sunday
Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,10:17:00,Sunday
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2,18:52:00,Tuesday
18-30,Male,High school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,9:45:00,Wednesday
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Raining,Collision with pedestrians,Reversing,Not a Pedestrian,No distancing,2,9:45:00,Wednesday
Under 18,Male,High school,Owner,1-2yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Driving carelessly,2,20:55:00,Monday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No priority to pedestrian,2,20:55:00,Monday
18-30,Male,Unknown,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,9:30:00,Saturday
18-30,Male,High school,Owner,2-5yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,9:30:00,Saturday
18-30,Male,High school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,9:30:00,Saturday
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,9:20:00,Wednesday
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,9:20:00,Wednesday
Under 18,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,1:50:00,Friday
18-30,Male,Above high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1:50:00,Friday
31-50,Male,Unknown,Unknown,Unknown,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,10:32:00,Wednesday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Changing lane to the right,2,18:37:00,Thursday
18-30,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,8:02:00,Tuesday
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,8:02:00,Tuesday
31-50,Male,High school,Owner,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,8:02:00,Tuesday
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,6:14:00,Friday
31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,2,6:14:00,Friday
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),O Shape,Earth roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,1,17:55:00,Saturday
